Disciplinas/Atividades,Datas,Status,Período,Notas,Créditos,Anexos
"Termo de Compromisso e Responsabilidade do Aluno - Assinar e entregar ",31/03/2022 → 23/07/2022,Terminado 🙌,Semestre 1,https://profnit.org.br/regimento-nacional/,3,
Metodologia da Pesquisa Científico-Tecnológica e Inovação – NIT04,31/03/2022 → 02/06/2022,Terminado 🙌,Semestre 1,,3,
Proficiência Língua Inglesa,31/03/2022 → 20/07/2022,Terminado 🙌,Semestre 1,Válido por 24 meses.,,
Prospecção Tecnológica – NIT03,10/06/2022 → 15/07/2022,Terminado 🙌,Semestre 1,,3,
Seminário de Projeto de Mestrado – NIT20,04/06/2022 → 23/07/2022,Terminado 🙌,Semestre 2,,2,
Conceitos e Aplicações de Transferência de Tecnologia (TT) – NIT02,01/09/2022 → 30/11/2022,Terminado 🙌,Semestre 2,,3,
"Políticas Públicas de Ciência, Tecnologia e Inovação e o Estado Brasileiro – NIT05",15/09/2022 → 30/11/2022,Terminado 🙌,Semestre 2,,3,
Seminário Integrador – NIT19,15/03/2023 → 30/07/2023,Terminado 🙌,Semestre 2,,1,seminarioIntegrador.png
Submissão de artigo B1/B2,15/03/2023 → 30/07/2023,Terminado 🙌,Semestre 3,Pré-requisito,,
Negociacao Contratos e Formalizacao de Transferencia de Tecnologia,15/03/2023 → 30/07/2023,Terminado 🙌,Semestre 3,,3,
Disciplina eletiva/optativa B (sem professor(a)),15/03/2023 → 30/07/2023,Terminado 🙌,Semestre 3,,3,
Oficina Profissional – NIT50,15/03/2023 → 30/07/2023,Terminado 🙌,Semestre 3,sem nota,6,
Conceitos e Aplicações de Propriedade Intelectual (PI) – NIT01,28/04/2022 → 03/06/2022,Terminado 🙌,Semestre 3,,3,
Exame de Qualificação – NIT21,15/03/2023 → 30/07/2023,Em andamento,Semestre 4,,1,
Defesa de Trabalho de Conclusão – NIT23,15/01/2024 → 31/05/2024,Futuro,Semestre 4,,3,
,,,,,,
